"ID";"Bedrijfskenmerken";"Perioden";"OpenstaandeVacatures_1";"OntstaneVacatures_2";"VervuldeVacatures_3"
"3800";"396300 ";"2012KW02";"     7.3";"       5";"       5"
"3801";"396300 ";"2012KW03";"     6.6";"       5";"       5"
"3802";"396300 ";"2012KW04";"     6.6";"       4";"       5"
"3803";"396300 ";"2012JJ00";"     7.2";"      20";"      22"
"3804";"396300 ";"2013KW01";"     6.6";"       5";"       5"
"3805";"396300 ";"2013KW02";"     7.1";"       5";"       4"
"3806";"396300 ";"2013KW03";"     6.8";"       5";"       5"
"3807";"396300 ";"2013KW04";"     5.4";"       4";"       6"
"3808";"396300 ";"2013JJ00";"     6.6";"      19";"      19"
"3809";"396300 ";"2014KW01";"     6.0";"       6";"       5"
"3810";"396300 ";"2014KW02";"     5.6";"       5";"       6"
"3811";"396300 ";"2014KW03";"     5.7";"       5";"       5"
"3812";"396300 ";"2014KW04";"     5.7";"       6";"       6"
"3813";"396300 ";"2014JJ00";"     5.7";"      22";"      22"
"3814";"396300 ";"2015KW01";"     5.9";"       6";"       6"
"3815";"396300 ";"2015KW02";"     6.5";"       6";"       6"
"3816";"396300 ";"2015KW03";"     6.1";"       5";"       5"
"3817";"396300 ";"2015KW04";"     6.5";"       7";"       6"
"3818";"396300 ";"2015JJ00";"     6.1";"      24";"      23"
"3819";"396300 ";"2016KW01";"     6.7";"       7";"       7"
"3820";"396300 ";"2016KW02";"     6.5";"       6";"       6"
"3821";"396300 ";"2016KW03";"     6.3";"       6";"       6"
"3822";"396300 ";"2016KW04";"     6.3";"       6";"       6"
"3823";"396300 ";"2016JJ00";"     6.5";"      25";"      25"
"3824";"396300 ";"2017KW01";"     7.3";"       8";"       7"
"3825";"396300 ";"2017KW02";"     8.9";"       8";"       7"
"3826";"396300 ";"2017KW03";"     8.7";"       8";"       8"
"3827";"396300 ";"2017KW04";"     9.0";"       8";"       8"
"3828";"396300 ";"2017JJ00";"     8.1";"      32";"      29"
"3829";"396300 ";"2018KW01";"     8.8";"       7";"       7"
"3830";"396300 ";"2018KW02";"     8.8";"       8";"       8"
"3831";"396300 ";"2018KW03";"     8.9";"       7";"       7"
"3832";"396300 ";"2018KW04";"     9.1";"       9";"       9"
"3833";"396300 ";"2018JJ00";"     8.9";"      31";"      31"
"3834";"396300 ";"2019KW01";"     9.0";"       8";"       8"
"3835";"396300 ";"2019KW02";"     8.8";"       7";"       7"
"3836";"396300 ";"2019KW03";"     8.4";"       8";"       8"
"3837";"396300 ";"2019KW04";"     8.7";"       9";"       9"
"3838";"396300 ";"2019JJ00";"     8.8";"      31";"      32"
"3839";"396300 ";"2020KW01";"     7.0";"       7";"       8"
"3840";"396300 ";"2020KW02";"     7.0";"       8";"       8"
"3841";"396300 ";"2020KW03";"     6.9";"       8";"       8"
"3842";"396300 ";"2020KW04";"     7.3";"       7";"       7"
"3843";"396300 ";"2020JJ00";"     7.3";"      30";"      31"
"3844";"396300 ";"2021KW01";"     7.8";"       9";"       8"
"3845";"396300 ";"2021KW02";"     8.0";"       8";"       8"
"3846";"396300 ";"2021KW03";"     9.5";"       8";"       7"
"3847";"396300 ";"2021KW04";"    10.3";"       9";"       8"
"3848";"396300 ";"2021JJ00";"     8.5";"      33";"      31"
"3849";"396300 ";"2022KW01";"    11.7";"      12";"      10"
"3850";"396300 ";"2022KW02";"    12.7";"      10";"       9"
"3851";"396300 ";"2022KW03";"    11.8";"       9";"      10"
"3852";"396300 ";"2022KW04";"    11.9";"      10";"      10"
"3853";"396300 ";"2022JJ00";"    11.8";"      41";"      39"
"3854";"396300 ";"2023KW01";"    11.0";"       9";"      10"
"3855";"396300 ";"2023KW02";"    10.8";"       9";"       9"
"3856";"396300 ";"2023KW03";"     9.9";"       9";"      10"
"3857";"396400 ";"1997KW01";"     1.3";"       1";"       1"
"3858";"396400 ";"1997KW02";"     1.1";"       2";"       2"
